,,,,
COMUNIDAD,,Community name,,
familia,,Family name,,
NOMBRES_APELLIDOS,,Family Name,,
FECHA_NAC,,Date of Birth,,
SEXO,,Sex,,
FECHA_INTERV04,,Date of Visit ,,
EDAD04,,Age in years or months in 2009,,
Ascaris04,,positive for this Ascaris (present in feces sample) in 2009,,
Blastocystis04,,positive for Blastocystis (present in feces sample),,
Giardia04,,positive for Giardia (present in feces sample)  in 2009,,
Trichuris04,,positive for Trichuris (present in feces sample) in 2009,,
Uncinaria04,,positive for Uncinaria (present in feces sample)  in 2009,,
Strongyloides04,,positive for Strongyloides (present in feces sample) in 2009,,
Enterobius04,,Positive for Enterobius (present in feces sample) in 2009,,
Hymenolepis_nana04,,Positive for Hymenolepis nana (present in feces sample) in 2009,,
PESO04,,Weight (kg) in 2009,,
Talla04,,Height (cm) in 2009,,
WAZ04,,Weight for Age Z Score in 2009,,
waz_Desc04,,Weight for Age Z Score Description 2009,,
HAZ04,,Height for Age Z Score in 2009 ,,
haz_Desc04,,Height for Age Z Score Description 2009,,
BAZ04,,BMI for Age Z Score in 2009,,
baz_Desc04,,BMI for Age Z Score Description in 2009,,
IMC_Form04,,,,
HB04,,Hemoglobin 2009,,
ANEMIA04,,Anemia (classified according to age and sex) 2012,,
Hto04(capilar)%,,HTO % ,,
FECHA_INTERV05,,,,
EDAD05,,,,
Ascaris05,,,,
Blastocystis05,,,,
Giardia05,,,,
Trichuris05,,,,
Uncinaria05,,,,
Strongyloides05,,,,
Enterobius05,,,,
Hymenolepis_nana05,,,,
PESO05,,,,
Talla05,,,,
WAZ05,,,,
waz_Desc05,,,,
HAZ05,,,,
haz_Desc05,,,,
BAZ05,,,,
baz_Desc05,,,,
IMC_Form05,,,,
HB05,,,,
ANEMIA05,,,,
Hto04(capilar)%,,,,
FECHA_INTERV06,,,,
EDAD06,,,,
Ascaris06,,,,
Blastocystis06,,,,
Giardia06,,,,
Trichuris06,,,,
Uncinaria06,,,,
Strongyloides06,,,,
Enterobius06,,,,
Hymenolepis_nana06,,,,
PESO06,,,,
Talla06,,,,
WAZ06,,,,
waz_Desc06,,,,
HAZ06,,,,
haz_Desc06,,,,
BAZ06,,,,
baz_Desc06,,,,
IMC_Form06,,,,
HB06,,,,
ANEMIA06,,,,
Hto06(capilar)%,,,,
FECHA_INTERV07,,,,
EDAD07,,,,
Ascaris07,,,,
Blastocystis07,,,,
Giardia07,,,,
Trichuris07,,,,
Uncinaria07,,,,
Strongyloides07,,,,
Enterobius07,,,,
Hymenolepis_nana07,,,,
PESO07,,,,
Talla07,,,,
WAZ07,,,,
waz_Desc07,,,,
HAZ07,,,,
haz_Desc07,,,,
BAZ07,,,,
baz_Desc07,,,,
HB07,,,,
ANEMIA07,,,,
Hto07(capilar)%,,,,
FECHA_INTERV08,,,,
EDAD08,,,,
Ascaris08,,,,
Blastocystis08,,,,
Giardia08,,,,
Trichuris08,,,,
Uncinaria08,,,,
Strongyloides08,,,,
Enterobius08,,,,
Hymenolepis_nana08,,,,
PESO08,,,,
Talla08,,,,
WAZ08,,,,
waz_Desc08,,,,
HAZ08,,,,
haz_Desc08,,,,
BAZ08,,,,
baz_Desc08,,,,
IMC_Form08,,,,
HB08,,,,
ANEMIA08,,,,
Hto08(capilar)%,,,,
FECHA_INTERV19,,,,
EDAD19,,,,
Ascaris19,,,,
Blastocystis19,,,,
Giardia19,,,,
Trichuris19,,,,
Uncinaria19,,,,
Strongyloides19,,,,
Enterobius19,,,,
Hymenolepis_nana19,,,,
PESO19,,,,
Talla19,,,,
WAZ19,,,,
waz_Desc19,,,,
HAZ19,,,,
haz_Desc19,,,,
BAZ19,,,,
baz_Desc19,,,,
IMC_Form19,,,,
HB19,,,,
ANEMIA19,,,,
Hto19-EQ(hemocue)%,,,,
Hto19(capilar)%,,,,
FECHA_INTERV_2021,,,,
edad_2021,,,,
parentesco,,,,
tiene_pileta_si_1_no_0_compartido_2,,,,
funciona_pileta_si_1_no_0,,,,
agua_segura_pileta_si_1_no_0_nosabe_2,,,,
faltoagua_recientementepileta_si_1_no_0_no sabe_2_no dato_-1_aveces_99,,,,
si_hacecuantotiempo_dias_aveces_99_1000_hace poco,,,,
porcuantotiempo_dias,,,,
nohaypileta_dedondeagua_manante,,,,
nohaypileta_dedondeagua_quebrada,,,,
nohaypileta_dedondeagua_rio,,,,
nohaypileta_dedondeagua_otro,,,,
fueracasa_aguatoma_llevasin hervir,,,,
fueracasa_aguatoma_llevaHervida,,,,
fueracasa_aguatoma_otro,,,,
agua_comolotomasfuera_sinhervir_1_hervido_2,,,,
tienes_sed_dondetomasagua_notoma_0_pileta_1_piletahervida_2_hervida_3_piletaquebrada_4_otro_5,,,,
dedondemas_otrousoagua,,,,
cuando_tomastedire_manante,,,,
cuando_tomastedire_quebrada,,,,
cuando_tomastedirec_rio,,,,
tomo_hace_dias_no toma_99_-1_nodato,,,,
tomas_otrabebida_chapo,,,,
tomas_otrabebida_limonada,,,,
tomas_otrabebida_gaseosa,,,,
tomas_otrabebida_masato,,,,
otrasbebidas,,,,
prepamasato_aguapileta_1_aguaquebrada2_piletaquebrada_3_noprepara_4,,,,
ultimavez_tomastemasateada_hacedias,,,,
cuantoduro_masateada_horas_nosabe_99,,,,
fuiste_con niños,,,,
donde_defeca_baño_1_letrina_2_pozociego_3_monte_4,,,,
despues_lavamanos_si_1_no_0_aveces_2,,,,
lavamanos_jabon_si_1_no_0_nodato_-1,,,,
lavamano_otro,,,,
defeca_campo_si_1_no_0_nodato_-1,,,,
despues_entierra_si_1_no_0_aveces_2_nodato_-1,,,,
cuantasveces_lavamano,,,,
donde_lavas mano_pileta_1_otros_4,,,,
usajabon_si_1_nodato_-1,,,,
usa_otro,,,,
lavamanos_momentos,,,,
juegasmascotas_si_1_no_0_nosabe_2,,,,
que_mascota,,,,
